"test","pass","duration","hop-rate","timestamp","bssid","ssi","channel","bearing","lat","lon","alt","lat_err","lon_error","alt_error"
"discovery-hop-0.13312","24","10","0.13312","1510872183.526515","60:38:e0:06:34:ac","-53","2447","128.07045941873866","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872183.787627","60:38:e0:06:3a:f0","-73","2452","137.47113376030666","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872183.806782","1c:7e:e5:30:57:4e","-51","2452","138.16076186624898","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872183.904979","1c:7e:e5:30:57:4e","-61","2457","141.69609517557987","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872184.432516","00:18:e7:e9:04:59","-55","2412","160.68873063700028","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872184.520598","00:18:e7:e9:07:f5","-41","2417","163.8598937486424","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872184.762237","00:12:17:9f:79:b6","-59","2422","172.5594979705614","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872185.237391","00:18:e7:e9:07:f5","-51","2432","189.66620974593093","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872185.625388","60:38:e0:06:34:e8","-43","2442","203.63505441203503","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872185.779655","60:38:e0:06:34:ac","-51","2447","209.1890490668016","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872185.881743","60:38:e0:06:34:ac","-49","2447","212.86446764521938","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872186.040396","60:38:e0:06:3a:f0","-63","2452","218.57636723933166","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872186.875802","00:18:e7:e9:07:f5","-49","2417","248.65304360950373","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872187.117464","00:12:17:9f:79:b6","-49","2422","257.35347186241734","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872187.606","60:38:e0:06:2d:9c","-67","2432","274.9419670926465","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872188.134561","60:38:e0:06:34:ac","-51","2447","293.97146935742035","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872188.238823","60:38:e0:06:34:ac","-49","2447","297.72515371301546","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872188.395625","60:38:e0:06:3a:f0","-61","2452","303.37041838409334","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
